"created_at","retweet_count","is_quote","reply_to_screen_name","source","favourites_count","followers_count","friends_count","listed_count","statuses_count","verified","popular"
2018-05-28 09:48:46,0,FALSE,"dircomPedro","Twitter for iPhone",261,31,93,1,1309,FALSE,FALSE
2018-05-28 09:53:27,0,FALSE,,"Twitter for Android",272,331,893,10,9629,FALSE,FALSE
2018-05-28 10:40:36,0,FALSE,,"Twitter for iPhone",691,259,1731,0,11781,FALSE,FALSE
2018-05-28 10:03:19,3,FALSE,,"Twitter for iPhone",336,43376,550,185,28138,FALSE,TRUE
2018-05-27 17:12:20,342,FALSE,,"Twitter Web Client",27,4490510,49,3441,14661,TRUE,TRUE
2018-05-28 09:42:49,0,FALSE,"santi522","Twitter for Android",434,114,476,0,3618,FALSE,FALSE
2018-05-28 10:35:53,0,FALSE,,"Twitter Web Client",2256,231,444,0,3146,FALSE,FALSE
2018-05-28 11:00:27,0,FALSE,,"Google",17710,1949,308,10,21265,FALSE,FALSE
2018-05-28 09:08:52,0,FALSE,"Dxni96","Twitter for iPhone",15895,379,104,1,12467,FALSE,FALSE
2018-05-28 10:33:05,1,FALSE,,"Twitter for iPhone",11631,10266,3426,18,25625,FALSE,TRUE
2018-05-28 10:00:47,0,FALSE,,"Twitter for iPhone",821,18195,303,77,13347,FALSE,FALSE
2018-05-28 10:43:59,0,FALSE,"KINBO_GS","Twitter for Android",12126,178,642,3,13737,FALSE,FALSE
2018-05-28 10:20:00,0,FALSE,,"Google",2,17,28,0,589,FALSE,FALSE
2018-05-28 09:41:01,9,FALSE,,"Twitter for iPhone",32201,50650,733,105,70293,FALSE,TRUE
2018-05-28 10:45:33,2,FALSE,,"Google",35705,39687,198,80,137258,FALSE,TRUE
2018-05-28 10:32:01,0,FALSE,"fifagdl","Twitter for iPhone",5551,60,174,0,663,FALSE,FALSE
2018-05-28 09:53:10,0,FALSE,,"Twitter Web Client",20,386,861,4,2473,FALSE,FALSE
2018-05-28 10:23:20,0,FALSE,,"Twitter for Android",1562,46,143,0,493,FALSE,FALSE
2018-05-28 09:24:58,0,FALSE,"alemanfuert","Twitter for iPhone",261,170,139,0,287,FALSE,FALSE
